 |UDP:0, 1|TCP:0|GV:0|RKN:0
Yekaterinburg - MIRALOGIC|UDP:0|TCP:|GV:8|RKN:4
Yekaterinburg - MiraLogic Telecommunication Systems|UDP:0|TCP:|GV:0|RKN:2
Yekaterinburg - Mts-ekb Ipoe|UDP:1, 4|TCP:|GV:0|RKN:2
Yekaterinburg - PJSC Rostelecom|UDP:1|TCP:|GV:0|RKN:5
Yekaterinburg - Rostelecom networks|UDP:0, 1|TCP:|GV:0|RKN:17
Yeysk - Firm Svyaz Ltd|UDP:0|TCP:|GV:6|RKN:0
Yoshkar-Ola - JSC Ufanet|UDP:0|TCP:|GV:0, 3|RKN:0
Yuzhno-Sakhalinsk - Sakhalin Cable Telesystems Ltd|UDP:0, 1|TCP:|GV:0, 1|RKN:0
ZAO MTU-Intel|UDP:3|TCP:|GV:3|RKN:17
Zarinsk - OJSC Sibirtelecom|UDP:6|TCP:|GV:11|RKN:5
Zheleznogorsk - Signal Service|UDP:0|TCP:|GV:0, 1|RKN:3
Zheleznogorsk - Signal Service LLC|UDP:1|TCP:|GV:0, 1|RKN:0
ZL Dynamic|UDP:0|TCP:|GV:11|RKN:0
