 |UDP:0, 1|TCP:0|GV:0|RKN:0
Nizhniy Novgorod - PJSC Vimpelcom|UDP:2|TCP:1|GV:0, 1|RKN:0
Noginsk - CTC-JNPR|UDP:1, 2|TCP:11|GV:11, 0|RKN:0
Novoaltaysk - JSC Rostelecom regional branch Siberia|UDP:6|TCP:11|GV:11|RKN:5
Novosibirsk - MTS PJSC|UDP:2, 3, 8|TCP:1|GV:0, 1, 6|RKN:5
Novosibirsk - Novotelecom Ltd|UDP:0|TCP:2|GV:17|RKN:9
Novosibirsk - Novotelecom Ltd.|UDP:0|TCP:5|GV:0|RKN:5
Novosibirsk - Rostelecom networks|UDP:0|TCP:6|GV:0|RKN:4
Novosibirsk - SIBNETWORKS NSK nats|UDP:3|TCP:1|GV:0|RKN:8
Novotelecom ltd.|UDP:3, 8|TCP:2|GV:0, 1|RKN:12
OAO Mgts|UDP:0, 3, 1|TCP:0|GV:0, 1|RKN:12
Odintsovo - JSC Ufanet|UDP:0|TCP:0|GV:0|RKN:5
OJSC North-West Telecom|UDP:0, 2|TCP:0|GV:0|RKN:0
OJSC Rostelecom Macroregional Branch South|UDP:0|TCP:0|GV:1, 2, 11|RKN:0
OJSC Sibirtelecom|UDP:0|TCP:0|GV:13|RKN:0
Omsk - CJSC ER-Telecom Holding Omsk branch|UDP:1|TCP:11|GV:1, 0|RKN:5
Omsk - JSC ER-Telecom Holding|UDP:0, 1|TCP:0|GV:0, 1|RKN:0
Omsk - Omskie kabelnye seti Ltd.|UDP:0|TCP:1|GV:0|RKN:0
Omsk - Rostelecom networks|UDP:0|TCP:0|GV:1|RKN:0
Omsk - ZSTTK|UDP:3|TCP:1|GV:0|RKN:5
Orenburg - JSC ER-Telecom Holding|UDP:2|TCP:3|GV:1|RKN:4
Orenburg - JSC Ufanet|UDP:7|TCP:3|GV:7|RKN:10
Orenburg - Orenburg branch of OJSC VolgaTelecom|UDP:0|TCP:|GV:0|RKN:2
Orsk - JSC Ufanet|UDP:3|TCP:|GV:1|RKN:11
Oryol - JSC Resource-Sviaz Regional Network|UDP:1|TCP:|GV:0|RKN:2
Oryol - Mobile TeleSystems|UDP:0|TCP:|GV:0|RKN:0
Oryol - MTS OJSC|UDP:0|TCP:|GV:0|RKN:0
Oryol - S-INFORM Network|UDP:1|TCP:|GV:0|RKN:0
Pargolovo - Smart Home Limited Liability Company|UDP:4|TCP:|GV:11|RKN:9
Penza - CJSC ER-Telecom Holding Penza branch|UDP:0|TCP:|GV:0|RKN:9
Penza - PJSC Rostelecom|UDP:5|TCP:|GV:0|RKN:4
Penza - SM Ltd.|UDP:2|TCP:|GV:1|RKN:17
Perm - MTS PJSC|UDP:0|TCP:|GV:0|RKN:0
Perm - OJSC ER-Telecom Perm|UDP:2|TCP:|GV:2|RKN:2
Perm - OJSC uralsvyazinform|UDP:0|TCP:|GV:0|RKN:4
Permtelecom|UDP:1, 0|TCP:|GV:0, 1|RKN:11
Pervouralsk - INTERRA telecommunications group Ltd|UDP:0|TCP:|GV:0|RKN:2
Pervouralsk - Interra TG Ltd.|UDP:3|TCP:|GV:0|RKN:4
Pervouralsk - VPN PPPoE customers Sverdlovsk reg. Interra Lt|UDP:1|TCP:|GV:1|RKN:11
Petropavlovsk-Kamchatsky - Rostelecom networks|UDP:1|TCP:|GV:1|RKN:1
Petrozavodsk - CityLink Ltd|UDP:6|TCP:|GV:0|RKN:2
PJSC MegaFon|UDP:0|TCP:|GV:0|RKN:2
Pjsc Mgts|UDP:0|TCP:|GV:0|RKN:1
PJSC Rostelecom|UDP:1|TCP:|GV:0|RKN:0
PJSC Rostelecom North-West Region|UDP:0, 4|TCP:|GV:0, 1|RKN:0
PJSC Vimpelcom|UDP:1|TCP:|GV:1|RKN:5
POIG Ltd|UDP:1, 3|TCP:|GV:0|RKN:0
Pushkino - Beirel Telecom ISP|UDP:1|TCP:|GV:1|RKN:1
Pyatigorsk - CORBINA-BROADBAND|UDP:0, 1|TCP:|GV:0, 1|RKN:0
Pyatigorsk - JSC Post Ltd Network|UDP:1|TCP:|GV:0|RKN:1
Ramenskoye - Net By Net Holding LLC|UDP:0|TCP:|GV:1|RKN:5
Redcom BB Unlim|UDP:0|TCP:|GV:1|RKN:0
RocketCloud|UDP:0|TCP:|GV:1|RKN:2
Rostelecom - Moscow|UDP:3|TCP:|GV:6|RKN:3
Rostelecom Nets|UDP:0|TCP:|GV:1|RKN:4
Rostelecom networks|UDP:7|TCP:|GV:0|RKN:0
Rostelekom - Moscow|UDP:1|TCP:|GV:0|RKN:4
Rostov-on-Don - BRAS Huawei ME60 128kusers|UDP:0|TCP:|GV:3|RKN:0
Rostov-on-Don - CTSRND-NETWORK|UDP:0|TCP:|GV:16|RKN:0
Rostov-on-Don - Macroregional South|UDP:8|TCP:|GV:0|RKN:0
Rostov-on-Don - PJSC Vimpelcom|UDP:1|TCP:|GV:0|RKN:0
Rostov-on-Don - Plusinfo Infrastructure|UDP:0, 3|TCP:|GV:0|RKN:0
Rostov-on-Don - Special Engineering and Design Bureau Orbita|UDP:1, 7|TCP:|GV:0, 11|RKN:1
Rostov-on-Don - Viter Evgeniy Vasilevich|UDP:1|TCP:|GV:1|RKN:4
Ruamur|UDP:0|TCP:|GV:1|RKN:5
